"occurrenceStatus";"geometry";"pred"
1;c(11.20933, 62.402792);0,99
1;c(11.127744, 62.410689);0,914
1;c(11.126068, 62.415456);0,914
1;c(11.121076, 62.403194);0,919
1;c(11.188561, 62.415781);1
1;c(11.433619, 62.461621);0,996
1;c(11.394496, 62.473964);0,994
1;c(11.405197, 62.465877);0,994
1;c(11.437378, 62.405885);0,999
1;c(11.450147, 62.404358);0,999
1;c(11.305437, 62.481804);0,996
1;c(11.326674, 62.479862);0,996
1;c(11.297701, 62.485182);0,996
1;c(11.412171, 62.440037);0,977
1;c(11.417484, 62.43382);0,999
1;c(11.456867, 62.389745);0,999
1;c(11.387108, 62.453373);0,962
1;c(11.336966, 62.469516);0,999
1;c(11.271668, 62.494831);0,985
1;c(11.355909, 62.471586);0,999
1;c(11.459689, 62.394428);0,998
1;c(11.493104, 62.398055);0,998
1;c(11.784695, 65.121082);0,997
1;c(10.974694, 62.575309);0,903
1;c(14.36286, 62.47661);0,72
1;c(11.210165, 62.354763);0,964
1;c(11.227562, 62.342829);0,964
1;c(17.97258, 59.7456);0,171
1;c(18.62536, 59.9058);0,187
1;c(17.16827, 62.10799);0,505
1;c(14.66957, 63.17826);0,463
1;c(14.85352, 59.6768);0,573
1;c(12.67153, 60.30677);0,971
1;c(18.44951, 60.12298);0,506
1;c(18.53413, 60.25089);0,28
1;c(18.0475, 60.30247);0,298
1;c(18.50261, 60.26215);0,28
1;c(17.89254, 60.22802);0,561
1;c(18.25493, 60.2358);0,47
1;c(18.44106, 60.28811);0,6
1;c(17.92366, 60.1499);0,291
1;c(18.41144, 60.42475);0,255
1;c(14.88873, 58.13327);0,076
1;c(13.47164, 57.97766);0,2
1;c(16.71722, 59.35837);0,272
1;c(11.40359, 58.39525);1
1;c(15.16094, 58.09065);0,423
1;c(15.44833, 57.97058);0,119
1;c(15.15287, 58.08797);0,423
1;c(15.2246, 60.96367);0,794
1;c(16.84032, 59.0283);0,337
1;c(18.04592, 59.9981);0,24
1;c(18.47498, 60.27859);0,296
1;c(13.80347, 60.77282);0,785
1;c(13.9275, 61.21663);0,822
1;c(15.15153, 60.76859);0,81
1;c(13.95511, 61.19396);0,6
1;c(15.72414, 60.14078);0,91
1;c(13.60455, 61.55033);0,65
1;c(15.96675, 60.94533);0,695
1;c(14.98477, 60.91721);0,804
1;c(15.21788, 60.66142);0,652
1;c(14.75372, 60.17764);0,751
1;c(14.83563, 60.38119);0,295
1;c(14.84912, 60.41115);0,854
1;c(15.46695, 60.62593);0,805
1;c(15.33289, 60.67741);0,605
1;c(15.04583, 58.15501);0,209
1;c(16.34694, 63.58394);0,615
1;c(16.56475, 59.90275);0,405
1;c(12.33075, 59.61941);0,702
1;c(16.40098, 58.81282);0,184
1;c(15.81109, 58.33059);0,144
1;c(17.77125, 62.57149);0,191
1;c(13.7798, 62.96909);0,908
1;c(16.70483, 58.3832);0,508
1;c(12.38909, 57.2729);0,315
1;c(15.54659, 62.72319);0,612
1;c(17.96355, 59.69574);0,15
1;c(15.56372, 57.56817);0,298
1;c(14.40406, 62.60696);0,558
1;c(14.4368, 63.60822);0,506
1;c(15.69023, 57.30151);0,215
1;c(17.46985, 58.76041);1
1;c(16.6613, 60.42352);0,556
1;c(17.3525, 60.60549);0,96
1;c(13.282086, 65.713195);0,975
1;c(13.254606, 65.820122);0,991
1;c(13.281367, 65.704688);0,974
1;c(18.0134, 59.65177);0,138
1;c(18.05397, 60.49435);0,378
1;c(16.592521, 68.826605);1
1;c(16.578274, 68.826559);1
1;c(16.509409, 68.447429);1
1;c(16.582208, 68.833709);1
1;c(16.549528, 68.832071);1
1;c(18.1048, 60.2361);0,242
1;c(12.134766, 63.599345);0,978
1;c(13.361434, 66.834471);1
1;c(13.531638, 68.19793);1
1;c(14.435891, 67.225616);0,998
1;c(14.763677, 67.304895);0,998
1;c(11.694188, 63.754269);0,676
1;c(12.14675, 63.660098);0,918
1;c(13.378304, 66.82235);1
1;c(14.671743, 67.301883);1
1;c(13.802605, 66.890757);1
1;c(13.790882, 66.892714);1
1;c(14.70844, 67.248365);1
1;c(11.57658, 63.728264);0,808
1;c(17.71131, 59.50261);0,337
1;c(14.635748, 67.200827);1
1;c(14.637985, 67.426162);1
1;c(14.692566, 67.063123);1
1;c(14.494218, 67.291052);0,998
1;c(14.670827, 67.038412);1
1;c(14.680448, 67.057896);1
1;c(14.653148, 67.037746);0,999
1;c(14.695567, 67.044022);1
1;c(14.655313, 67.04735);0,999
